Iterations,BST,BTree,DLL,Heap
10,0.000000,0.000000,0.000000,0.000000
10010,0.255000,0.002000,0.144000,0.001000
20010,1.072000,0.004000,0.654000,0.001000
30010,2.439000,0.005000,1.450000,0.001000
40010,4.564000,0.007000,2.911000,0.002000
50010,7.464000,0.008000,4.310000,0.004000
60010,10.299000,0.010000,5.701000,0.004000
