Iterations,BST,BTree,DLL,Heap
10,0.000000,0.000000,0.000000,0.000000
10010,0.268000,0.002000,0.163000,0.001000
20010,1.071000,0.004000,0.662000,0.001000
30010,2.443000,0.005000,1.445000,0.002000
40010,4.492000,0.007000,2.645000,0.003000
50010,6.801000,0.008000,4.031000,0.004000
60010,10.099000,0.011000,5.977000,0.004000
