Iterations,BST,BTree,DLL,Heap
10,0.000000,0.000000,0.000000,0.000000
10010,0.275000,0.002000,0.531000,0.098000
20010,1.045000,0.004000,2.205000,0.390000
30010,2.500000,0.006000,4.664000,0.853000
40010,4.478000,0.008000,10.586000,2.136000
50010,5.183000,0.010000,16.237000,3.019000
60010,6.613000,0.013000,22.299000,4.473000
